ISCO-88 code,ISCO 08 Code
1110,1111
1120,1112
1130,1113
1141,1114
1142,1114
1143,1114
1210,1120
1221,1311
1221,1312
1222,1321
1222,1322
1223,1323
1223,3123
1224,1420
1225,1411
1225,1412
1226,1324
1226,1330
1227,1219
1227,1346
1228,1219
1229,1213
1229,1219
1229,1341
1229,1342
1229,1343
1229,1344
1229,1345
1229,1349
1229,1439
1229,2654
1229,3435
1231,1211
1231,1219
1232,1212
1233,1221
1234,1222
1235,1324
1236,1330
1237,1223
1239,1213
1311,6111
1311,6112
1311,6113
1311,6114
1311,6121
1311,6122
1311,6130
1311,6210
1311,6221
1311,6222
1311,6223
1312,1321
1312,1322
1313,1323
1314,1420
1314,5221
1315,1411
1315,1412
1316,1324
1316,1330
1317,1211
1317,1212
1317,1219
1317,1221
1317,1222
1317,1330
1317,1346
1318,1219
1319,1223
1319,1341
1319,1342
1319,1343
1319,1344
1319,1345
1319,1349
1319,1431
1319,1439
2111,2111
2112,2112
2113,2113
2113,2262
2114,2114
2121,2120
2122,2120
2131,2511
2131,2512
2131,2513
2131,2519
2131,2521
2131,2522
2131,2523
2132,2513
2132,2514
2132,2519
2139,2513
2139,2519
2139,2529
2141,2161
2141,2162
2141,2164
2142,2142
2143,2151
2144,2152
2144,2153
2145,2144
2146,2145
2147,2146
2148,2165
2149,2141
2149,2143
2149,2149
2211,2131
2211,2133
2212,2131
2212,2212
2212,2250
2213,2132
2221,2211
2221,2212
2222,2261
2223,2250
2224,2262
2229,2263
2229,2269
2230,1342
2230,1343
2230,2221
2230,2222
2230,3221
2230,3222
2310,2310
2310,2320
2320,2320
2320,2330
2331,2341
2332,2342
2340,2352
2351,2351
2352,2351
2359,2353
2359,2354
2359,2355
2359,2356
2359,2359
2411,2411
2411,2412
2412,2263
2412,2423
2412,2424
2419,2412
2419,2413
2419,2421
2419,2422
2419,2431
2419,2432
2419,3339
2421,2611
2422,2612
2429,2619
2431,2621
2432,2622
2441,2631
2442,2632
2443,2633
2444,2643
2445,2634
2446,2635
2451,2431
2451,2432
2451,2641
2451,2642
2452,2651
2453,2652
2454,2653
2455,2654
2455,2655
2460,2636
3111,3111
3112,3112
3113,3113
3114,3114
3114,3522
3115,3115
3116,3116
3117,3117
3118,3118
3119,3119
3121,3512
3121,3513
3121,3514
3122,3511
3122,3514
3123,3139
3131,3431
3131,3521
3132,3521
3132,3522
3133,3211
3141,3151
3142,3152
3143,3153
3144,3154
3145,3155
3151,3112
3151,3359
3152,2263
3152,3113
3152,3114
3152,3115
3152,3117
3152,3257
3152,7543
3211,3141
3211,3212
3212,3142
3212,3143
3213,2132
3221,2240
3221,3253
3221,3256
3222,2263
3222,3257
3223,2265
3224,2267
3224,3254
3225,3251
3226,2264
3226,2269
3226,3255
3226,3259
3227,3240
3228,3213
3229,2230
3229,2266
3229,2267
3229,2269
3229,3259
3231,3221
3232,3222
3241,2230
3241,3230
3242,3413
3310,2341
3320,2342
3330,2352
3340,2353
3340,2355
3340,2356
3340,2359
3340,3153
3340,3423
3340,3435
3340,5165
3411,2412
3411,3311
3412,3321
3413,3334
3414,4221
3415,2433
3415,2434
3415,3322
3416,3323
3417,3315
3417,3339
3419,3312
3421,3324
3422,3331
3423,3333
3429,3339
3431,3341
3431,3342
3431,3343
3431,3344
3432,3411
3433,3313
3434,3313
3434,3314
3439,3332
3439,3343
3439,3359
3439,3433
3441,3351
3442,3352
3443,3353
3444,3354
3449,3359
3450,3355
3450,3411
3460,3412
3471,2163
3471,2166
3471,3432
3471,3433
3471,3435
3472,2642
3472,2656
3473,2652
3473,2653
3474,2659
3475,3421
3475,3422
3475,3423
3480,3413
4111,3341
4111,4131
4112,3341
4112,4131
4113,4132
4114,3341
4114,4132
4115,3341
4115,3342
4115,3344
4115,4120
